,Cities,Country,Max_temp,Lat,Lon,Cloudiness,Humidity,Windspeed
0,ushuaia,AR,57.2,-54.81,-68.31,75,58,16.11
1,arraial do cabo,BR,91.4,-22.97,-42.02,0,46,14.99
2,pevek,RU,-21.6,69.7,170.27,64,100,8.1
3,clyde river,CA,-32.81,70.47,-68.59,20,73,5.82
4,acapulco,MX,86,16.86,-99.88,20,62,4.7
5,barrow,AR,81.95,-38.31,-60.23,0,66,7.31
6,lucapa,AO,68.99,-8.42,20.74,76,94,6.42
7,tual,ID,82.67,-5.67,132.75,48,100,10.45
8,barentsburg,NaN,NaN,NaN,NaN,NaN,NaN,NaN
9,tumannyy,NaN,NaN,NaN,NaN,NaN,NaN,NaN
10,castro,CL,69.8,-42.48,-73.76,0,49,5.82
11,rikitea,PF,79.97,-23.12,-134.97,100,97,11.01
12,talnakh,RU,3.92,69.49,88.39,80,79,19.06
13,sisimiut,GL,-23.49,66.94,-53.67,24,100,1.72
14,bluff,AU,72.95,-23.58,149.07,32,85,8.66
15,kampong cham,KH,76.46,11.99,105.46,0,59,9.89
16,nhulunbuy,AU,78.8,-12.18,136.78,76,94,9.33
17,margate,AU,64.4,-43.03,147.26,40,88,6.93
18,bandarbeyla,SO,75.97,9.49,50.81,8,100,17.05
19,bredasdorp,ZA,69.8,-34.53,20.04,0,60,11.41
20,seagoville,US,41,32.64,-96.54,90,73,4.97
21,half moon bay,US,55.04,37.46,-122.43,90,66,18.39
22,komsomolskiy,RU,8.15,67.55,63.78,88,79,12.91
23,cidreira,BR,82.27,-30.17,-50.22,32,99,3.62
24,samarkand,UZ,55.4,39.65,66.98,40,47,4.7
25,ponta do sol,BR,86.54,-20.63,-46,8,61,4.85
26,pskov,RU,33.8,57.82,28.33,92,98,4.47
27,hermanus,ZA,67.42,-34.42,19.24,0,53,3.74
28,mount isa,AU,86,-20.73,139.49,0,28,8.05
29,khatanga,RU,-21.73,71.98,102.47,56,32,16.6
30,port alfred,ZA,71.96,-33.59,26.89,36,87,7.31
31,kapaa,US,73.04,22.08,-159.32,90,73,5.82
32,new norfolk,AU,64.4,-42.78,147.06,40,88,6.93
33,georgetown,GY,80.6,6.8,-58.16,75,83,11.41
34,jamestown,AU,70.79,-33.21,138.6,0,62,5.86
35,ust-bolsheretsk,NaN,NaN,NaN,NaN,NaN,NaN,NaN
36,mackenzie,CA,30.2,55.34,-123.09,90,92,5.82
37,iqaluit,CA,-2.21,63.75,-68.52,90,70,10.29
38,grindavik,IS,35.6,63.84,-22.43,75,80,27.51
39,pangnirtung,CA,-7.61,66.15,-65.72,90,63,12.75
40,qaanaaq,GL,-28.48,77.48,-69.36,0,88,8.55
41,gat,SN,96.8,14.69,-16.54,0,22,4.7
42,dikson,RU,5.32,73.51,80.55,76,92,24.54
43,salalah,OM,77,17.01,54.1,40,69,2.24
44,kulhudhuffushi,MV,82.04,6.62,73.07,64,100,8.43
45,paulo afonso,BR,91.4,-9.4,-38.23,40,41,11.41
46,samalaeulu,NaN,NaN,NaN,NaN,NaN,NaN,NaN
47,esperance,TT,86,10.24,-61.45,75,48,9.17
48,isangel,VU,78.26,-19.55,169.27,68,100,14.03
49,victoria,BN,78.8,5.28,115.24,75,94,8.66
50,tura,IN,51.98,25.52,90.21,0,80,2.39
51,mataura,NZ,44.56,-46.19,168.86,88,87,3.62
52,saint-philippe,CA,15.08,45.36,-73.48,1,72,9.17
53,hobart,AU,64.4,-42.88,147.33,40,88,6.93
54,hithadhoo,MV,82.31,-0.6,73.08,76,100,6.42
55,nanortalik,GL,28.36,60.14,-45.24,68,97,11.68
56,hilo,US,69.08,19.71,-155.08,90,65,6.93
57,carnarvon,ZA,77.63,-30.97,22.13,0,12,10.45
58,humaita,AR,78.8,-24.93,-65.37,75,78,4.7
59,vaitupu,NaN,NaN,NaN,NaN,NaN,NaN,NaN
60,tsihombe,NaN,NaN,NaN,NaN,NaN,NaN,NaN
61,benguela,AO,77.59,-12.58,13.4,24,99,6.42
62,punta arenas,CL,59,-53.16,-70.91,75,51,27.51
63,tasiilaq,GL,10.4,65.61,-37.64,68,66,18.34
64,coruripe,BR,80.42,-10.12,-36.18,88,97,12.46
65,severo-kurilsk,RU,27.59,50.68,156.12,36,100,12.68
66,sorland,NO,33.8,67.67,12.69,75,59,26.4
67,butaritari,KI,83.26,3.07,172.79,80,100,14.7
68,ladario,PT,43.88,40.7,-7.74,0,77,2.95
69,saskylakh,RU,-56.56,71.97,114.09,0,0,6.53
70,ambon,FR,48.2,47.55,-2.56,90,65,2.24
71,chokurdakh,RU,-23.8,70.62,147.9,64,36,3.06
72,atuona,PF,81.77,-9.8,-139.03,76,98,15.7
73,ishigaki,JP,71.74,24.34,124.16,44,100,6.42
74,kaitangata,NZ,41.59,-46.28,169.85,24,78,2.95
75,cape town,ZA,68,-33.93,18.42,0,64,3.36
76,tuktoyaktuk,CA,-13.01,69.44,-133.03,75,75,12.75
77,puerto ayora,EC,80.6,-0.74,-90.35,75,78,9.17
78,comodoro rivadavia,AR,82.4,-45.87,-67.48,0,13,13.87
79,winchester,GB,46.4,51.06,-1.31,75,52,3.36
80,college,US,-2.03,64.86,-147.8,20,84,3.4
81,matagami,NG,78.94,9.67,8.4,0,49,3.62
82,maghama,NaN,NaN,NaN,NaN,NaN,NaN,NaN
83,shenjiamen,CN,51.49,29.96,122.3,92,98,10.45
84,kedrovyy,RU,5,56.17,91.82,0,77,7.76
85,souillac,FR,48.2,45.6,-0.6,90,70,4.7
86,illoqqortoormiut,NaN,NaN,NaN,NaN,NaN,NaN,NaN
87,blairmore,CA,41,49.61,-114.44,1,27,18.34
88,port elizabeth,US,32,39.31,-74.98,1,60,3.36
89,brenes,ES,57.2,37.55,-5.87,0,54,5.82
90,albany,US,24.08,42.65,-73.75,20,54,3.36
91,san juan,PH,78.8,14.6,121.03,20,61,4.7
92,upernavik,GL,-11.11,72.79,-56.15,12,100,15.7
93,vostok,RU,6.17,46.45,135.83,88,84,2.17
94,marsa matruh,EG,56.75,31.35,27.25,92,45,20.51
95,klaksvik,FO,32,62.23,-6.59,92,100,19.46
96,eston,CA,8.6,51.15,-108.75,20,84,8.05
97,vaini,IN,68.36,15.34,74.49,0,59,5.19
98,alice springs,AU,78.8,-23.7,133.88,0,22,3.36
99,soyo,AO,76.91,-6.13,12.37,92,95,2.17
100,bonthe,SL,87.08,7.53,-12.5,8,60,5.75
101,tucuman,PE,69.76,-17.17,-70.89,24,73,4.41
102,hasaki,JP,32,35.73,140.83,20,100,5.82
103,sucre,BO,57.56,-19.05,-65.26,68,85,2.95
